student_name,country,university_ranking_band,university_name,specialization,industry,company_name
Linda V. Anderson,Germany,100-300,Frankfurt Applied Science University,Core CS,Healthcare,Merck
Nancy S. Miller,Germany,300+,Berlin Regional University,Cybersecurity,Finance,General Corp
Benjamin P. Ramos,India,300+,Technical Technology and Science,Cloud,Tech,Amazon
Tyler L. Kim,Canada,300+,Northern Community College,Core CS,Finance,General Corp
Stephanie X. Hall,India,Top 100,Indian Institute of Advanced Technology,Cybersecurity,Other,Global Logistics
Melissa K. Davis,UK,300+,Imperial Higher Learning Center,Cloud,Healthcare,Merck
Brandon N. Cook,Canada,300+,Northern Community College,AI/ML,Consulting,Deloitte
Aaron A. Wood,Germany,100-300,Frankfurt Applied Science University,Core CS,Tech,Microsoft
Daniel S. Smith,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Other,Standard Bank
Kathleen V. Hughes,Canada,300+,Northern Community College,Data Science,Healthcare,UnitedHealth Group
Thomas N. Thomas,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Healthcare,Novartis
Timothy Z. Mitchell,India,100-300,Delhi Technology and Science,Cloud,Tech,Adobe
Joseph Q. Castillo,USA,Top 100,Federal Research University,AI/ML,Other,Government Agency
Justin K. Watson,UK,Top 100,Northern Research University,Core CS,Consulting,Accenture
Mateo Y. Williams,Canada,300+,Northern Community College,Cybersecurity,Tech,Google
Arjun U. Morales,Canada,300+,Northern Community College,AI/ML,Other,Retail Corp
Larry Y. Cook,India,300+,Technical Technology and Science,Data Science,Manufacturing,Ford
Benjamin B. Ruiz,UK,100-300,Northern State University,AI/ML,Healthcare,AstraZeneca
Hiroshi I. Reed,UK,100-300,Northern State University,Cloud,Manufacturing,Caterpillar
Linda I. Allen,Germany,300+,Berlin Regional University,Cloud,Finance,General Corp
Rebecca Y. Richardson,UK,100-300,Northern State University,AI/ML,Other,Educational Institution
Catherine E. Young,UK,300+,Imperial Higher Learning Center,Data Science,Healthcare,Pfizer
Deborah M. Rivera,Canada,300+,Northern Community College,AI/ML,Other,Local Startup
Jason J. James,USA,Top 100,Federal Research University,Data Science,Other,Non-Profit Org
Brandon N. Parker,Canada,300+,Northern Community College,Core CS,Consulting,Bain & Company
Larry T. Richardson,India,Top 100,Indian Institute of Advanced Technology,Cloud,Healthcare,Johnson & Johnson
Hiroshi M. Bailey,UK,300+,Imperial Higher Learning Center,AI/ML,Manufacturing,General Electric
Pamela D. Torres,USA,100-300,Western State University,AI/ML,Consulting,BCG
Julie C. Wright,Canada,300+,Northern Community College,Data Science,Healthcare,AstraZeneca
Michelle N. Evans,Germany,Top 100,Technical Technical University of Excellence,Cybersecurity,Other,Educational Institution
Laura T. Kim,India,100-300,Delhi Technology and Science,Data Science,Tech,Meta
Daniel T. Cruz,India,Top 100,Indian Institute of Advanced Technology,Cybersecurity,Finance,General Corp
Gregory T. Carter,India,300+,Technical Technology and Science,AI/ML,Manufacturing,Boeing
Larry I. Jackson,Canada,Top 100,Northern University of Excellence,Cloud,Healthcare,Sanofi
Sandra Y. Ramos,USA,Top 100,Federal Research University,Core CS,Other,Non-Profit Org
Margaret I. Sanchez,USA,100-300,Western State University,Cloud,Manufacturing,General Electric
Christopher S. Roberts,UK,300+,Imperial Higher Learning Center,Cloud,Finance,General Corp
Nicole J. Richardson,USA,300+,Eastern Community College,Core CS,Manufacturing,General Electric
Li A. Morgan,Germany,100-300,Frankfurt Applied Science University,AI/ML,Tech,IBM
Jack H. Morgan,India,100-300,Delhi Technology and Science,Data Science,Finance,General Corp
Deborah K. Edwards,Canada,100-300,Great Lakes Polytechnic Institute,Cloud,Tech,Google
Raymond K. Clark,India,100-300,Delhi Technology and Science,Data Science,Consulting,KPMG
Mateo F. Chavez,India,300+,Technical Technology and Science,Cloud,Other,Educational Institution
Jacob Q. Reed,Germany,300+,Berlin Regional University,AI/ML,Tech,Amazon
Carol X. Parker,India,100-300,Delhi Technology and Science,Data Science,Manufacturing,Ford
Sarah T. Flores,India,Top 100,Indian Institute of Advanced Technology,Core CS,Manufacturing,Boeing
James J. Wood,Germany,Top 100,Technical Technical University of Excellence,AI/ML,Finance,General Corp
Ananya S. Patel,Germany,100-300,Frankfurt Applied Science University,Core CS,Consulting,Accenture
Betty U. Davis,USA,Top 100,Federal Research University,Cloud,Tech,Apple
Jeffrey H. Price,India,100-300,Delhi Technology and Science,Cloud,Manufacturing,Honda
Ryan D. James,UK,300+,Imperial Higher Learning Center,Core CS,Manufacturing,Caterpillar
Shirley H. Cruz,UK,Top 100,Northern Research University,Cloud,Healthcare,Novartis
Brenda G. Hughes,UK,100-300,Northern State University,Cloud,Healthcare,Johnson & Johnson
Greta F. Harris,Germany,300+,Berlin Regional University,Core CS,Finance,General Corp
David G. Lee,India,Top 100,Indian Institute of Advanced Technology,Data Science,Finance,General Corp
Shirley E. Evans,USA,300+,Eastern Community College,Data Science,Healthcare,UnitedHealth Group
Benjamin C. Jackson,India,100-300,Delhi Technology and Science,AI/ML,Manufacturing,Toyota
Jacob D. Thomas,UK,100-300,Northern State University,Core CS,Consulting,Oliver Wyman
Brian A. Richardson,Canada,Top 100,Northern University of Excellence,AI/ML,Consulting,EY
Helen Q. Price,UK,100-300,Northern State University,Cybersecurity,Other,Educational Institution
Helen V. Stewart,Germany,100-300,Frankfurt Applied Science University,Cloud,Finance,General Corp
Ronald L. Miller,India,300+,Technical Technology and Science,Core CS,Finance,General Corp
Jason J. Patel,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Other,Local Startup
Gary M. Alvarez,USA,300+,Eastern Community College,Core CS,Healthcare,Pfizer
Yuki U. Hill,India,300+,Technical Technology and Science,Core CS,Healthcare,AstraZeneca
Brenda I. Rogers,India,Top 100,Indian Institute of Advanced Technology,Cloud,Consulting,KPMG
Carl B. Foster,India,300+,Technical Technology and Science,Core CS,Tech,Intel
Laura C. Young,Canada,Top 100,Northern University of Excellence,Cybersecurity,Manufacturing,Samsung
Margaret T. Anderson,India,100-300,Delhi Technology and Science,Cybersecurity,Tech,Google
Gary L. Clark,Canada,300+,Northern Community College,Data Science,Manufacturing,Samsung
Daniel V. Cooper,India,300+,Technical Technology and Science,Cloud,Consulting,Oliver Wyman
Melissa Z. Foster,UK,100-300,Northern State University,Core CS,Tech,Tesla
Matthew N. Wilson,USA,100-300,Western State University,AI/ML,Finance,General Corp
Yuki Y. Rivera,India,100-300,Delhi Technology and Science,AI/ML,Finance,General Corp
Dennis W. Phillips,Germany,100-300,Frankfurt Applied Science University,Cloud,Consulting,Capgemini
Lisa B. Alvarez,UK,300+,Imperial Higher Learning Center,Core CS,Consulting,EY
Laura A. Miller,Germany,300+,Berlin Regional University,Cloud,Tech,IBM
Elizabeth L. Sanchez,Germany,300+,Berlin Regional University,Cloud,Finance,General Corp
Yuki W. Hughes,Canada,300+,Northern Community College,Data Science,Finance,General Corp
Arjun J. Clark,USA,100-300,Western State University,Data Science,Other,Retail Corp
Nancy X. Diaz,Germany,100-300,Frankfurt Applied Science University,AI/ML,Tech,Intel
Nicole J. Johnson,UK,100-300,Northern State University,AI/ML,Other,Retail Corp
Wei V. Mendoza,USA,Top 100,Federal Research University,Cybersecurity,Finance,General Corp
Robert Z. White,UK,100-300,Northern State University,Cybersecurity,Tech,Adobe
Linda Q. Morales,Germany,100-300,Frankfurt Applied Science University,Data Science,Tech,Amazon
Kimberly J. Clark,USA,100-300,Western State University,Cybersecurity,Consulting,McKinsey & Company
Timothy F. Davis,India,300+,Technical Technology and Science,Cloud,Healthcare,Pfizer
Carl P. King,Germany,Top 100,Technical Technical University of Excellence,Cybersecurity,Consulting,McKinsey & Company
Sharon W. Lopez,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Tech,Apple
Sharon H. Reed,Canada,300+,Northern Community College,Cloud,Tech,Microsoft
Deborah N. Lee,UK,Top 100,Northern Research University,Data Science,Other,Government Agency
Alexander B. Gomez,India,300+,Technical Technology and Science,AI/ML,Finance,General Corp
Amy L. Lewis,USA,100-300,Western State University,Data Science,Finance,General Corp
Michelle P. Gonzalez,Germany,300+,Berlin Regional University,AI/ML,Consulting,Bain & Company
Dorothy O. Gray,Germany,Top 100,Technical Technical University of Excellence,Cloud,Consulting,Capgemini
Ronald W. Foster,India,300+,Technical Technology and Science,Data Science,Healthcare,Mayo Clinic
Elizabeth F. Patel,Germany,100-300,Frankfurt Applied Science University,AI/ML,Manufacturing,BMW
Timothy R. Richardson,UK,Top 100,Northern Research University,Core CS,Healthcare,Mayo Clinic
Dorothy B. Richardson,USA,300+,Eastern Community College,Data Science,Tech,Salesforce
Hans O. Johnson,India,300+,Technical Technology and Science,Cybersecurity,Consulting,Capgemini
Nicholas B. Howard,India,100-300,Delhi Technology and Science,AI/ML,Consulting,KPMG
Michelle G. Bennett,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Healthcare,AstraZeneca
Cynthia U. Lewis,USA,300+,Eastern Community College,AI/ML,Healthcare,Roche
Stephen S. Flores,India,300+,Technical Technology and Science,Data Science,Finance,General Corp
Wei D. Gonzalez,Germany,300+,Berlin Regional University,Core CS,Other,Standard Bank
Laura D. Richardson,USA,100-300,Western State University,Cybersecurity,Healthcare,Sanofi
Timothy G. Wilson,UK,Top 100,Northern Research University,Core CS,Tech,Tesla
Thomas B. Roberts,India,100-300,Delhi Technology and Science,AI/ML,Finance,General Corp
Diane X. Robinson,UK,Top 100,Northern Research University,Core CS,Other,Government Agency
Anthony T. Price,India,100-300,Delhi Technology and Science,AI/ML,Finance,General Corp
Laura K. Bennett,Germany,100-300,Frankfurt Applied Science University,Cloud,Finance,General Corp
Helen W. Brown,Canada,100-300,Great Lakes Polytechnic Institute,AI/ML,Healthcare,Pfizer
Arjun S. Alvarez,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Manufacturing,General Electric
Jack V. Chavez,UK,100-300,Northern State University,AI/ML,Manufacturing,BMW
Mark M. Perez,USA,100-300,Western State University,Data Science,Consulting,Oliver Wyman
Daniel H. Rivera,UK,100-300,Northern State University,Data Science,Other,Educational Institution
Karen G. Evans,Canada,100-300,Great Lakes Polytechnic Institute,Cybersecurity,Consulting,Oliver Wyman
Scott M. James,India,100-300,Delhi Technology and Science,Cybersecurity,Consulting,Bain & Company
Ryan X. Kim,India,300+,Technical Technology and Science,Cloud,Other,Standard Bank
Michelle A. Wilson,UK,100-300,Northern State University,Data Science,Tech,Meta
Ananya J. Kelly,USA,300+,Eastern Community College,Data Science,Manufacturing,Honda
Brandon K. Murphy,India,100-300,Delhi Technology and Science,Core CS,Other,Local Startup
Elizabeth L. Gutierrez,India,100-300,Delhi Technology and Science,Data Science,Consulting,Bain & Company
Justin H. Gonzalez,Canada,300+,Northern Community College,Data Science,Healthcare,Medtronic
Charles L. Reed,Canada,300+,Northern Community College,Core CS,Healthcare,AstraZeneca
Amy Z. Hernandez,USA,100-300,Western State University,Cloud,Tech,Oracle
Ashley W. Campbell,India,100-300,Delhi Technology and Science,Cybersecurity,Manufacturing,Ford
Li E. Stewart,Germany,100-300,Frankfurt Applied Science University,Cloud,Finance,General Corp
Brandon U. Robinson,UK,100-300,Northern State University,Cybersecurity,Finance,General Corp
Carol Z. Richardson,India,100-300,Delhi Technology and Science,Cybersecurity,Manufacturing,Ford
Melissa S. Rogers,UK,300+,Imperial Higher Learning Center,Core CS,Finance,General Corp
Jonathan I. Thomas,India,300+,Technical Technology and Science,Cybersecurity,Manufacturing,Lockheed Martin
Richard G. Perez,Canada,300+,Northern Community College,AI/ML,Healthcare,Roche
Angela S. Jackson,USA,100-300,Western State University,AI/ML,Tech,Google
William Z. Castillo,Germany,100-300,Frankfurt Applied Science University,AI/ML,Healthcare,Pfizer
Timothy O. Rivera,Canada,100-300,Great Lakes Polytechnic Institute,AI/ML,Consulting,Oliver Wyman
Jack A. Morales,USA,300+,Eastern Community College,Core CS,Consulting,Bain & Company
Kathleen W. Robinson,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Other,Government Agency
Kathleen X. Collins,UK,100-300,Northern State University,AI/ML,Tech,Google
Nicole D. Thomas,India,100-300,Delhi Technology and Science,Data Science,Tech,Apple
Amanda Z. Cooper,Canada,300+,Northern Community College,Cybersecurity,Tech,Salesforce
Jennifer Q. Ross,USA,300+,Eastern Community College,Cloud,Healthcare,Mayo Clinic
Laura J. Davis,India,300+,Technical Technology and Science,AI/ML,Tech,Intel
Shirley K. Foster,UK,300+,Imperial Higher Learning Center,AI/ML,Healthcare,Pfizer
Nancy B. Adams,UK,300+,Imperial Higher Learning Center,Data Science,Other,Government Agency
Betty S. Kelly,Germany,100-300,Frankfurt Applied Science University,Core CS,Other,Non-Profit Org
Michelle P. Perez,India,300+,Technical Technology and Science,Data Science,Consulting,McKinsey & Company
Nicholas Y. Ramirez,UK,100-300,Northern State University,AI/ML,Finance,General Corp
Frank E. Kelly,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Finance,General Corp
Michelle L. Scott,UK,300+,Imperial Higher Learning Center,Cybersecurity,Healthcare,Merck
Ananya H. Mendoza,UK,100-300,Northern State University,Cloud,Consulting,McKinsey & Company
Christopher G. White,UK,Top 100,Northern Research University,Data Science,Other,Local Startup
Jennifer H. Jones,Germany,300+,Berlin Regional University,AI/ML,Manufacturing,Boeing
Jonathan Q. Green,USA,Top 100,Federal Research University,Cybersecurity,Manufacturing,Ford
Sofia Z. Nelson,UK,Top 100,Northern Research University,Cybersecurity,Other,Local Startup
Shirley Q. Ortiz,USA,300+,Eastern Community College,Data Science,Other,Government Agency
Elizabeth R. Foster,India,100-300,Delhi Technology and Science,AI/ML,Manufacturing,Boeing
Jason H. Nelson,USA,100-300,Western State University,Cloud,Consulting,Deloitte
Sandra F. Young,India,Top 100,Indian Institute of Advanced Technology,Data Science,Consulting,Accenture
Sarah X. Cooper,Germany,100-300,Frankfurt Applied Science University,Core CS,Tech,Tesla
Donna X. Thomas,India,100-300,Delhi Technology and Science,Cybersecurity,Manufacturing,General Electric
Thomas M. Gonzalez,India,300+,Technical Technology and Science,Core CS,Other,Retail Corp
Kathleen B. Scott,Canada,Top 100,Northern University of Excellence,Cybersecurity,Finance,General Corp
John K. Carter,Germany,300+,Berlin Regional University,Data Science,Finance,General Corp
Richard Y. White,UK,100-300,Northern State University,Cybersecurity,Manufacturing,General Electric
Jennifer B. Ramirez,Germany,100-300,Frankfurt Applied Science University,AI/ML,Other,Retail Corp
Shirley D. Patel,Canada,300+,Northern Community College,Core CS,Healthcare,UnitedHealth Group
Pamela X. Mitchell,India,100-300,Delhi Technology and Science,Data Science,Finance,General Corp
Frank H. Sanders,Germany,300+,Berlin Regional University,AI/ML,Consulting,BCG
Barbara X. Williams,Canada,300+,Northern Community College,AI/ML,Other,Retail Corp
Jessica S. Davis,UK,100-300,Northern State University,AI/ML,Other,Educational Institution
Stephen F. Stewart,India,300+,Technical Technology and Science,Cybersecurity,Manufacturing,General Electric
Barbara Z. Anderson,Germany,100-300,Frankfurt Applied Science University,AI/ML,Finance,General Corp
Mateo Q. Anderson,Germany,100-300,Frankfurt Applied Science University,AI/ML,Other,Local Startup
Sharon U. Robinson,India,300+,Technical Technology and Science,Cybersecurity,Tech,NVIDIA
Thomas E. Ramirez,Germany,Top 100,Technical Technical University of Excellence,Data Science,Tech,Tesla
Laura Y. Lopez,India,100-300,Delhi Technology and Science,Cybersecurity,Other,Educational Institution
Kevin N. Smith,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Consulting,McKinsey & Company
Laura C. Castillo,India,100-300,Delhi Technology and Science,Data Science,Healthcare,Roche
Diane O. Nelson,UK,300+,Imperial Higher Learning Center,AI/ML,Tech,Amazon
James D. Castillo,India,Top 100,Indian Institute of Advanced Technology,Cloud,Other,Government Agency
Donna U. Murphy,Germany,100-300,Frankfurt Applied Science University,Core CS,Other,Global Logistics
Matthew X. Stewart,India,300+,Technical Technology and Science,Cloud,Other,Standard Bank
Benjamin W. Price,India,100-300,Delhi Technology and Science,AI/ML,Healthcare,Mayo Clinic
Samuel P. Sanders,India,Top 100,Indian Institute of Advanced Technology,Data Science,Healthcare,Johnson & Johnson
Diane C. Davis,UK,100-300,Northern State University,Cybersecurity,Tech,Meta
Gregory Q. Cox,UK,Top 100,Northern Research University,AI/ML,Finance,General Corp
David B. Hall,Germany,100-300,Frankfurt Applied Science University,Data Science,Other,Global Logistics
Helen S. Wright,Germany,300+,Berlin Regional University,Cybersecurity,Healthcare,Roche
Rebecca J. Cruz,India,100-300,Delhi Technology and Science,AI/ML,Finance,General Corp
Patrick C. Cruz,USA,300+,Eastern Community College,Data Science,Manufacturing,Samsung
Charles G. Rodriguez,Canada,300+,Northern Community College,Cloud,Manufacturing,Caterpillar
Emma L. Hall,India,100-300,Delhi Technology and Science,Cloud,Healthcare,Roche
Tyler H. Mendoza,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Tech,Apple
Larry C. Mendoza,UK,300+,Imperial Higher Learning Center,AI/ML,Consulting,EY
Mark M. Long,Germany,300+,Berlin Regional University,Data Science,Tech,Adobe
Hiroshi Z. Lewis,USA,300+,Eastern Community College,Data Science,Finance,General Corp
Thomas C. Ramirez,Germany,100-300,Frankfurt Applied Science University,Cloud,Finance,General Corp
Donna F. Ruiz,UK,300+,Imperial Higher Learning Center,Cybersecurity,Consulting,KPMG
Anthony A. Castillo,India,Top 100,Indian Institute of Advanced Technology,Cybersecurity,Healthcare,Pfizer
Gary J. Thompson,UK,300+,Imperial Higher Learning Center,Cybersecurity,Manufacturing,Boeing
Alice R. Hughes,USA,300+,Eastern Community College,Cybersecurity,Healthcare,Novartis
Shirley U. Young,India,100-300,Delhi Technology and Science,Data Science,Consulting,KPMG
Ananya J. Thompson,India,100-300,Delhi Technology and Science,Cloud,Healthcare,Medtronic
Laura C. Turner,USA,100-300,Western State University,Cybersecurity,Tech,NVIDIA
Greta Z. Chavez,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Tech,NVIDIA
Arjun M. Peterson,India,Top 100,Indian Institute of Advanced Technology,Core CS,Consulting,BCG
Jacob V. King,Germany,300+,Berlin Regional University,AI/ML,Tech,Intel
Michael X. Ramirez,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Tech,Salesforce
Frank Z. Bennett,USA,Top 100,Federal Research University,Data Science,Other,Government Agency
Sharon G. James,Canada,100-300,Great Lakes Polytechnic Institute,AI/ML,Manufacturing,Caterpillar
Jerry G. Peterson,India,300+,Technical Technology and Science,AI/ML,Consulting,EY
Mary K. Murphy,USA,Top 100,Federal Research University,Cybersecurity,Finance,General Corp
Amanda L. Parker,India,Top 100,Indian Institute of Advanced Technology,AI/ML,Healthcare,Novartis
Yuki V. Thomas,USA,100-300,Western State University,Data Science,Other,Global Logistics
Gregory S. Ortiz,Germany,300+,Berlin Regional University,Core CS,Finance,General Corp
Jonathan V. Morgan,UK,300+,Imperial Higher Learning Center,Cybersecurity,Finance,General Corp
Arjun I. Reyes,UK,100-300,Northern State University,Cloud,Manufacturing,General Electric
Gary R. Ward,USA,300+,Eastern Community College,Core CS,Manufacturing,Samsung
Li N. Robinson,Canada,Top 100,Northern University of Excellence,Cybersecurity,Tech,Microsoft
Kathleen N. Smith,USA,300+,Eastern Community College,Cybersecurity,Finance,General Corp
Helen J. Turner,Germany,Top 100,Technical Technical University of Excellence,AI/ML,Consulting,BCG
Sharon R. Lopez,Canada,Top 100,Northern University of Excellence,Cybersecurity,Healthcare,Novartis
Melissa Y. Mendoza,USA,100-300,Western State University,Cybersecurity,Tech,Salesforce
James F. Scott,USA,300+,Eastern Community College,AI/ML,Consulting,McKinsey & Company
Carol W. Gutierrez,India,100-300,Delhi Technology and Science,Core CS,Tech,Tesla
Frank I. Price,Germany,100-300,Frankfurt Applied Science University,Cloud,Consulting,Deloitte
Benjamin E. Castillo,Germany,100-300,Frankfurt Applied Science University,Cloud,Tech,NVIDIA
Amy U. Wilson,UK,300+,Imperial Higher Learning Center,Cloud,Healthcare,Mayo Clinic
Emma W. Anderson,India,100-300,Delhi Technology and Science,Data Science,Consulting,Accenture
Stephanie R. Perez,Canada,300+,Northern Community College,Core CS,Tech,Amazon
